986; Mikitahn’emägi; урочище
987; Сельгостровская луда; луда
988; Kiškin; урочище
989; Савиновка; неизвестно
990; Pustin’t’e; дорога
991; Заполе; угодье
992; Veht’jär’v; озеро
993; Трестеницкая губа; залив
994; Turžinbong; омут
995; Шитовшины; угодье
996; L’üušulup; покос
997; Осиновый остров; остров
998; Пеудушка; угодье
999; Ридсельский Мох; болото
1000; Ouramammel’nic; участок
1001; Кузьминская полянка; угодье
1002; Странной мох; болото
1003; Каменная Огорода; угодье
1004; Суборок поляна; угодье
1005; Дружковщина; урочище
1006; Яма; луда
1007; Койнаволок; мыс
1008; Девьи острова; остров
1009; Novanüt; урочище
1010; Korbiniittü; угодье
1011; Sarik; остров
1012; Tuulasjärven dorogu; дорога
1013; T’esaret; урочище
1014; Bašn’ampöud; поле
1015; Turkinpihk; лес
1016; Bojär’v; озеро
1017; Калейгуба; угодье
1018; Jamhad; урочище
1019; Kažinsarik; остров
1020; Проездная Салма; пролив
1022; Федотиха; угодье
1024; Кошелевщина; угодье
1025; Mikšanhoumeh; пожога
1026; За Горой; угодье
1028; Ховра; угодье
1029; Заднее поле; угодье
1031; Никольских мох; болото
1032; Ontoničunsar’; урочище
1033; Šušin Mihailankaivo; колодец
1034; Большая поляна; угодье
1035; Черничный Угол; болото
1036; Устиха; угодье
1037; Jašoin’em’; мыс
1038; Тимакова Губка; залив
1039; Воронская дорога; дорога
1041; Бараний Рог; мыс
1042; Заполек; угодье
1043; Подводница; луда
1044; Тамбицмаяк; мыс
1045; Варишсельга; гора
1046; По Устьяндомской дороге; угодье
1047; Потрочиха; угодье
1048; Ободовская мельница; мельница
1049; Itačoja; покос
1050; Песочная Губа; угодье
1051; Нестеров Бор; угодье
1053; Педасельгский Нос; угодье
1054; Mel’n’icsiid; мост
1055; Jušk; деревня
1056; Смолек; мыс
1057; Попова Нива; угодье
1058; Septain’e; река
1059; Заельницкая полоса; угодье
1061; Har’koikor’b; урочище
1062; За Ручьем; угодье
1063; Jalam; гора
1064; Kalaidai; покос
1065; Tarunem’; мыс
1066; Sur’kar; омут
1067; Ферешины пожни; угодье
1068; Становище; угодье
1069; Platant’ebarbik; лес
1070; Щелино; остров
1071; Котецкий остров; остров
1072; Кортнаволок; мыс
1073; Круглышка; поле
1074; Галайболото; болото
1075; Бережное поле; угодье
1076; Саньковская луда; луда
1078; Калитка; угодье
1079; Намельнична нива; угодье
1080; Бугрова Нива; угодье
1081; Košanso; болото
1082; Никитинская Дорога; угодье
1083; L’edo; урочище
1084; G’ägrašinn’it; покос
1085; У Деревни; угодье
1086; Pagastt’e; покос
1087; Savanfutor; урочище
1088; Нижний Тереб; угодье
1089; Čidoi; деревня
1090; Timoškanpert’; дом
1091; Рендогора; неизвестно
1092; Hil’jär’v; озеро
1093; Рассадник; угодье
1094; Сележный ручей; ручей
1095; Ананьинский Обод; угодье
1097; Il’jimbor; лес
1098; Valgeipesku; озеро
1099; Пиявщина; угодье
1100; Коргубская Ложина; угодье
1101; Tiihoinkodi; дом
1102; Kol’čihanhaamhed; нива
1103; Подсеверное поле; угодье
1104; Loudsor’med; покос
1105; Федотовых поляна; угодье
1106; Межуречье; угодье
1107; Осиновец; мыс
1108; Боброва пожня; угодье
1109; Чурово; угодье
1110; Козельщина; угодье
1111; Sar’g’är’f; озеро
1112; Ližmsiid; урочище
1113; Viluhtlähtkut; участок
1114; Čorg’ärvenmägi; гора
1115; У Зяблого Угла; угодье
1116; Крюковатка; угодье
1117; Ивовая луда; луда
